,id,screen_name,lang,created_at,time_zone,followers_count,friends_count,statuses_count
553,737668819,cannamedgardens,en,Sun Aug 05 00:16:05 +0000 2012,Pacific Time (US & Canada),23933,5772,2108
554,4211191512,2966684930Jack,en,Thu Nov 12 10:09:06 +0000 2015,Pacific Time (US & Canada),51,240,13
1053,2438413686,_SAjIDMiR,en,Fri Apr 11 12:20:22 +0000 2014,Pacific Time (US & Canada),35,197,65
1074,451436778,GollopGuern,en,Sat Dec 31 12:59:04 +0000 2011,,3308,3892,18427
2103,800179322,AbbasDharamshi,en,Mon Sep 03 11:06:48 +0000 2012,,166,455,93
2634,261658325,henrybridgwood,en,Sun Mar 06 12:09:23 +0000 2011,London,192,369,1129
2763,381872892,BDFoxworth,en,Thu Sep 29 02:46:56 +0000 2011,Eastern Time (US & Canada),1815,2084,8136
2790,4143211455,AirPayforHosts,en,Sun Nov 08 17:36:26 +0000 2015,,751,5002,26
3086,3314091134,laub_torres,en,Thu Aug 13 06:38:47 +0000 2015,,515,2085,4766
3173,4111224555,ITScommited2exc,en,Wed Nov 04 10:23:04 +0000 2015,,147,726,50
3284,227907792,Kris_Nolan_,en,Sat Dec 18 04:41:24 +0000 2010,America/New_York,121,356,198
3959,3883927573,dfaasavalu10,en,Tue Oct 13 19:41:59 +0000 2015,,421,3202,833
4587,2323860711,Madison__tho,en,Tue Feb 04 12:36:49 +0000 2014,Atlantic Time (Canada),520,556,9664
5007,2919115324,presthebuttons,en,Sat Dec 13 05:01:21 +0000 2014,,161,107,2661
5387,4042020137,Studentsity,en,Sun Oct 25 22:38:55 +0000 2015,Eastern Time (US & Canada),77,317,112
5736,3231959220,antimanny,en,Sun May 31 22:41:33 +0000 2015,Pacific Time (US & Canada),76,150,186
5759,3742259417,charlescholland,en,Tue Sep 22 20:26:57 +0000 2015,,236,1800,29
6208,198532943,NALC_National,en,Mon Oct 04 15:29:33 +0000 2010,Eastern Time (US & Canada),6888,2559,5613
6876,84772025,mgupta_1,en,Sat Oct 24 05:11:27 +0000 2009,Pacific Time (US & Canada),605,1706,723
6903,3233309342,BishnuBn,en,Tue Jun 02 07:52:49 +0000 2015,,88,622,176
7029,371898274,rneubauer93,en,Sun Sep 11 18:39:08 +0000 2011,Central Time (US & Canada),649,1957,696
7110,3706343775,geekusslavicus,en,Sat Sep 19 11:04:08 +0000 2015,Warsaw,425,1002,107
7191,366811006,hellehero,en,Fri Sep 02 21:33:17 +0000 2011,,194,322,605
7515,727310635,nikki_a14,en,Tue Jul 31 01:51:49 +0000 2012,Eastern Time (US & Canada),227,665,5038
7834,254643462,drougas123,en,Sat Feb 19 18:07:40 +0000 2011,Quito,259,554,1173
8005,3243913086,crackoo_crackoo,en,Sat Jun 13 06:46:37 +0000 2015,Pacific Time (US & Canada),234,516,84
9086,599748128,Dial_Law,en,Tue Jun 05 02:23:18 +0000 2012,Pacific Time (US & Canada),114,107,216
9632,703392684,Rocco_JG,en,Wed Jul 18 16:45:11 +0000 2012,Central Time (US & Canada),609,1766,7307
10707,92670247,jereyal,en,Thu Nov 26 02:52:50 +0000 2009,Central Time (US & Canada),209,1232,257
10728,3317253353,iamakki_007,en,Wed Jun 10 12:26:18 +0000 2015,,45,226,92
10760,389609128,kemrichardson7,en,Wed Oct 12 18:16:58 +0000 2011,Quito,11406,1342,17821
11648,2826743402,irfannooruddin,en,Mon Sep 22 17:46:56 +0000 2014,,1014,2004,6332
11794,2887201159,notchrisyellen,en,Sun Nov 02 07:38:17 +0000 2014,,494,1033,2279
13288,2267773146,RECITcollege,en,Sun Dec 29 18:56:01 +0000 2013,Eastern Time (US & Canada),586,451,2878
13420,313993289,Landon_Kasey,en,Thu Jun 09 14:58:44 +0000 2011,,849,627,2284
13992,2165080617,sarasdynasty,en,Sat Nov 02 16:40:53 +0000 2013,,560,415,12787
16181,1090128866,NewAdvice,en,Mon Jan 14 20:51:11 +0000 2013,Casablanca,421,2085,1973
16376,2897242945,BennerRachel,en,Wed Nov 12 05:51:03 +0000 2014,,185,216,730
16849,3228008678,forevervshley,en,Wed May 27 07:59:33 +0000 2015,,101,592,4308
18300,3428266942,MF_Biron,en,Mon Aug 17 14:34:29 +0000 2015,,66,805,298
19561,330633276,BryanOpat,en,Wed Jul 06 22:35:32 +0000 2011,Pacific Time (US & Canada),131,303,656
21234,344336841,OrellanaAlan,en,Thu Jul 28 22:26:12 +0000 2011,Central Time (US & Canada),207,1306,3961
22756,50383752,CO93baby,en,Wed Jun 24 18:10:01 +0000 2009,Quito,366,499,2510
26058,20408891,TameraMus,en,Mon Feb 09 02:18:52 +0000 2009,Eastern Time (US & Canada),534,943,2668
26521,2716245600,mariaviews,en,Fri Aug 08 05:37:01 +0000 2014,,64,226,372
26604,2407302944,_alexfunk,en,Sun Mar 23 15:33:35 +0000 2014,Pacific Time (US & Canada),291,863,4833
26814,2235466475,michaelcates25,en,Fri Dec 20 22:30:35 +0000 2013,,450,2018,5176
28412,443443540,Mu7aneD,en,Thu Dec 22 05:40:04 +0000 2011,Riyadh,459,1158,348
28415,1101751873,bhalchandra09,en,Fri Jan 18 19:03:12 +0000 2013,,330,1736,864
29688,127374165,BreatheUtah,en,Mon Mar 29 00:45:51 +0000 2010,Mountain Time (US & Canada),2140,1933,5834
30451,509083512,Orman_Guidance,en,Wed Feb 29 18:16:37 +0000 2012,Central Time (US & Canada),538,2219,1587
31043,960745897,CAIGLOBAL,en,Tue Nov 20 16:15:17 +0000 2012,Pacific Time (US & Canada),39,50,145
31191,2864978560,hungbyhangers,en,Fri Nov 07 01:49:09 +0000 2014,,1105,2044,2069
31400,3023218459,AdvisorIrms,en,Tue Feb 17 02:40:43 +0000 2015,Hong Kong,511,1770,831
31809,2990781417,ItsBizbuz,en,Wed Jan 21 23:17:25 +0000 2015,Ljubljana,153,1942,4305
32357,282189177,moxyladies,en,Thu Apr 14 18:36:06 +0000 2011,Arizona,3650,4053,91160
35514,19965948,BobMoletteire,en,Tue Feb 03 11:46:09 +0000 2009,Eastern Time (US & Canada),428,762,4225
35548,810240614,native8550,en,Sat Sep 08 05:18:22 +0000 2012,Brisbane,189,1666,3054
36158,822106488,Grethel_MG,en,Thu Sep 13 20:08:02 +0000 2012,,187,310,592
36295,3220595598,theeemitzy,en,Tue May 19 19:18:38 +0000 2015,,82,156,127
36542,14308012,INDIEbusiness,en,Sat Apr 05 02:37:04 +0000 2008,Eastern Time (US & Canada),33521,892,51278
37686,459120920,Sustainia,en,Mon Jan 09 09:21:41 +0000 2012,Athens,14228,6806,13718
39719,1699096916,Sylvesterbotwe,en,Sun Aug 25 12:33:04 +0000 2013,,427,1783,924
40471,3174858823,bbkdhl,en,Sun Apr 26 04:57:25 +0000 2015,,615,2214,630
40820,309899650,JonathanSafir,en,Thu Jun 02 21:22:29 +0000 2011,Quito,523,498,10213
41113,818839490,sambutler99,en,Wed Sep 12 04:40:34 +0000 2012,Tijuana,496,1985,10510
41161,32694093,khalafsa,en,Sat Apr 18 00:55:59 +0000 2009,,307,606,3274
41640,258093389,FistToFive,en,Sat Feb 26 23:25:50 +0000 2011,Eastern Time (US & Canada),659,1847,1350
41754,67727882,KIPP,en,Fri Aug 21 21:45:12 +0000 2009,Pacific Time (US & Canada),35995,2838,3237
42542,3029664532,thecentergame,en,Wed Feb 11 06:08:29 +0000 2015,Eastern Time (US & Canada),1413,4930,260
42865,158871860,mswabi,en,Wed Jun 23 21:57:00 +0000 2010,Eastern Time (US & Canada),109,179,669
45519,30336192,starriknight,en,Fri Apr 10 23:04:50 +0000 2009,Eastern Time (US & Canada),233,1660,2590
46014,3064605437,VUReview,en,Fri Feb 27 22:38:23 +0000 2015,,290,381,278
46967,2871959037,ABANAngels,en,Tue Nov 11 08:16:40 +0000 2014,,1734,1273,2204
47483,720516768,NikoHKK,en,Fri Jul 27 17:11:34 +0000 2012,London,346,1737,2113
47893,23593496,MenchinRizzo,en,Tue Mar 10 13:53:47 +0000 2009,Eastern Time (US & Canada),348,1997,849
