,id_str,created_at,retweet_count,favorite_count,text
0,668857141659242496,Mon Nov 23 18:22:23 +0000 2015,4,4,#EnoughIsEnough #IslamIsTheProblem #BanIslam #MakeAmericaGreatAgain #Trump2016 #Islamisevil https://t.co/GQvlDx6fyO
1,668856863568498688,Mon Nov 23 18:21:17 +0000 2015,151,0,"RT @IslamRevisite22: Religion today is about blindly trusting religious institutes
BUT Belief ≠ Trust
Read here: http://t.co/PRgC5opPOR htt…"
2,668856355378192384,Mon Nov 23 18:19:16 +0000 2015,5,4,"Muslim Countries Refuse to Take A Single Syrian Refugee, Cite Risk of Exposure to Terrorism https://t.co/bSqNDufrvt"
3,668808351711494145,Mon Nov 23 15:08:31 +0000 2015,5,3,"U.S. DEBT HITS $18,000,000,000,000.00- Under Obama America's Debt Skyrocketed https://t.co/jcXb1Dq2qB"
4,668619610913009664,Mon Nov 23 02:38:32 +0000 2015,2,1,Mafia offers NYC protection from ISIS https://t.co/mq7GN4H7vO via @worldnetdaily
5,668530454522232833,Sun Nov 22 20:44:15 +0000 2015,67,0,RT @WarmingCuteness: Me right now https://t.co/GHrSVPZZlP
6,668530440714633216,Sun Nov 22 20:44:12 +0000 2015,68,0,"RT @WarmingCuteness: awww, hello there cutie! https://t.co/CyEMj3D1eF"
7,668530429025058816,Sun Nov 22 20:44:09 +0000 2015,51,0,RT @WarmingCuteness: HELLO little cutie. https://t.co/tj4GgnGF1c
8,668530418342236160,Sun Nov 22 20:44:07 +0000 2015,76,0,RT @WarmingCuteness: https://t.co/CqYClrrrSS
9,668530394443026432,Sun Nov 22 20:44:01 +0000 2015,49,0,RT @WarmingCuteness: Done my shopping for the day https://t.co/JuZFbh5bVZ
10,668530374268481536,Sun Nov 22 20:43:56 +0000 2015,61,0,RT @WarmingCuteness: Can you tell they're sisters? https://t.co/mlgTgUDcEN
11,668530354542673920,Sun Nov 22 20:43:51 +0000 2015,23,0,RT @WarmingCuteness: I love this cat! https://t.co/G1W8WdMRwd
12,668530317427261440,Sun Nov 22 20:43:43 +0000 2015,905,0,RT @WarmingCuteness: THIS IS THE CUTEST CUDDLING COUPLE EVER ^ http://t.co/NkhULrChzm
13,668530277963030529,Sun Nov 22 20:43:33 +0000 2015,85,0,RT @WarmingCuteness: Bengal cat https://t.co/tBgs9h0Bnd
14,668530259059339265,Sun Nov 22 20:43:29 +0000 2015,9,0,RT @luxury__travel: 5 unmissable Autumn treats in Barcelona  https://t.co/G4tFRrpQ8Z https://t.co/Dji6StEeTt
15,668530097079496704,Sun Nov 22 20:42:50 +0000 2015,3246,0,RT @MagicalReaIism: https://t.co/w3WvDsdL2S
16,668530054012338176,Sun Nov 22 20:42:40 +0000 2015,1,0,"RT @ProNetworkBuild: ""Everything's got a moral if only you can find it."" - Lewis Carroll"
17,668530028427153408,Sun Nov 22 20:42:34 +0000 2015,2,0,"RT @SocialInDC: ""Put a grain of boldness into everything you do."" - Baltasar Gracian"
18,668529964749197312,Sun Nov 22 20:42:18 +0000 2015,1,0,RT @decosecrets: Fall favorites https://t.co/G7wLPRm4yP https://t.co/15AZVtNZ2R
19,668529906012188672,Sun Nov 22 20:42:04 +0000 2015,4,0,RT @Fashion_Critic_: Adele's Chloé Lace-Up Leather Boots https://t.co/i2vmWDrDaH https://t.co/CyUZq6b5DC
20,668529779956563970,Sun Nov 22 20:41:34 +0000 2015,1,0,RT @deco44you: Small Antique Chair Solution for Clutter https://t.co/zARPJA1vzk https://t.co/84DeLuNr6X
21,668529770498363392,Sun Nov 22 20:41:32 +0000 2015,3,0,RT @decorandhome: 2016 Color Palette for Room Design https://t.co/QThGpGOC7v https://t.co/KWGHifHCAB
22,668529508052439040,Sun Nov 22 20:40:30 +0000 2015,1,0,RT @decorations4you: 8 Simple Tricks to an Inexpensive Bathroom Makeover https://t.co/bp14NuFOby https://t.co/dWqVNDMMj3
23,668529482790141952,Sun Nov 22 20:40:24 +0000 2015,4143,0,"RT @CutPics: How much snow it typically takes to cancel school in the US
- http://t.co/WA0thoJuza"
24,668529455560654848,Sun Nov 22 20:40:17 +0000 2015,1,0,RT @eatlovesavormag: Haute Couture of Flower Creations: Interview with Olivier Giugni of L'Olivier Floral Atelier https://t.co/B4C9CYq1xs #…
25,668529351403540481,Sun Nov 22 20:39:52 +0000 2015,3,0,RT @CarlRamallo: #inspiring #motivational https://t.co/UJjzD6SrLn https://t.co/vUgnB6Bxco
26,668529281820065792,Sun Nov 22 20:39:36 +0000 2015,2,0,"RT @CarlRamallo: Keep your fears to yourself, but share your courage with others. ― Robert Louis Stevenson
#Courage https://t.co/5b3B8iaiIg"
27,668529236517367808,Sun Nov 22 20:39:25 +0000 2015,1953,0,RT @HippieCasual: Dont waste your time with people who don't appreciate you
