,id_str,created_at,retweet_count,favorite_count,text
0,668958398633807872,Tue Nov 24 01:04:45 +0000 2015,2,2,Choose the happier one:
1,668957975092981760,Tue Nov 24 01:03:04 +0000 2015,1,5,If you could have all the:
2,668956270502633474,Tue Nov 24 00:56:18 +0000 2015,2,6,Pick one
3,668842647751004160,Mon Nov 23 17:24:48 +0000 2015,3,14,The secret to wealth has nothing to do with money.
4,668514162683736064,Sun Nov 22 19:39:31 +0000 2015,0,6,"Smart~Fucker is real:
Regular sex enhances mental performance &amp; increases the production of new neurons n the brain, according 2 researchers"
5,668510991961817088,Sun Nov 22 19:26:55 +0000 2015,4,10,#Creepy faces of #PopCorn https://t.co/WWMLifzGEL
6,668510206968512516,Sun Nov 22 19:23:48 +0000 2015,0,2,"A good indication of the importance of whistleblowers is the way they're being treated.
~Noam Chomsky"
7,668276276768075776,Sun Nov 22 03:54:15 +0000 2015,6,25,I bought shoes from a drug dealer. I don't know what he laced them with but I've been tripping all day😂
8,668180690878332928,Sat Nov 21 21:34:25 +0000 2015,1,12,"Smoking cigarettes smells.
Smoking BUD smells GOOD. HAha"
9,668140922069118976,Sat Nov 21 18:56:23 +0000 2015,5,16,Do you see what I see? https://t.co/yf9iqu9CQm
10,668125327445495808,Sat Nov 21 17:54:25 +0000 2015,3,6,Canadian -an unarmed American with Health Insurance.
11,667875033289592832,Sat Nov 21 01:19:51 +0000 2015,0,9,"I love a smart, sassy &amp; good lookin' babe...man do I EVER.. Whew!💨"
12,667873558677159936,Sat Nov 21 01:13:59 +0000 2015,0,4,"If you wanna talk w/ me directly, I don't do that on TL isn't that why they have DIRECT MESSAGE even for? Hence the name?
TL is for comment."
13,667873135954296833,Sat Nov 21 01:12:18 +0000 2015,0,7,Chiefin' on Some Green Crack &amp; Jack Herrer bud &amp; some Jack Diesel wax! It's SOO yumm on a Fry~Day😚💨😎✌🏼️
14,667860209730125824,Sat Nov 21 00:20:56 +0000 2015,1,12,4:20 u know what to do
15,667806452661116928,Fri Nov 20 20:47:20 +0000 2015,3,15,"Happy Day Sumbitches!😂
🍁👌🏼😚💨😎✌🏼️ https://t.co/yqFKnN7hSr"
16,667791990189232128,Fri Nov 20 19:49:52 +0000 2015,0,6,"If a girl is ALWAYS flirting w/ others. Kick that ""easy"" to the curb! There's a reason she's single. I'm looking for truth &amp; dedication
#Bet"
17,667790279655604224,Fri Nov 20 19:43:04 +0000 2015,0,8,Always smokin' sativa in the morning and day. I like green crack today...
18,667779295071223808,Fri Nov 20 18:59:25 +0000 2015,0,14,"WoW! Late mornin' to ya!
Join me for coffee &amp; a blunt.
Whew!😚💨🙃🙃😎✌🏼🎉"
