source,target
2406809846,451436778
624109010,19754094
624109010,2871959037
624109010,459120920
23008116,84772025
3028166259,67727882
2875338939,67727882
18020390,198532943
1977815706,1396484258
3012058538,2616065880
3012058538,737668819
277611667,1699096916
19760382,282189177
389450416,179940298
406452995,1396484258
570266167,381872892
570266167,133169256
570266167,737668819
2860884496,67727882
74186243,19754094
74186243,1699096916
74186243,2235466475
74186243,3233309342
74186243,737668819
711716911,459120920
22386263,389609128
90026845,198532943
436351349,282189177
7788062,2826743402
142897820,325328148
575498130,67727882
4069089148,737668819
246876217,198532943
310114960,14308012
362212601,344336841
20214495,193522549
20214495,61655506
20214495,462128369
20214495,15140223
20214495,14914477
20214495,12991012
20214495,323043092
463047822,451436778
2989300223,1225768602
487653439,1225768602
557449649,282189177
85109795,462128369
35563232,323043092
1412168383,703392684
1412168383,127374165
588986395,12991012
2575202520,84772025
14298547,67727882
3934894407,61655506
353592234,462513751
181713969,19754094
4191457934,3029664532
317327921,127374165
14935192,12991012
618207661,459120920
283824663,720516768
283824663,323043092
4249822639,737668819
498119744,193522549
2332526420,818839490
304972712,179940298
292509855,198532943
381043514,282189177
2806494361,2165080617
71796971,258093389
19283137,19754094
243592680,325328148
118887398,1671294391
336108224,198532943
452613419,737668819
243333357,14308012
190993417,3066025187
2649494173,737668819
215683551,13549862
215683551,282189177
485419816,19965948
619283145,245499504
1131834690,133169256
112479899,2826743402
3750447262,3174858823
138615382,737668819
478234218,313993289
333842988,462128369
27760633,14914477
258527170,13549862
1446389574,2864978560
3364479495,459120920
3364479495,325328148
213941758,462128369
2830356871,2235466475
1583056988,3233309342
1583056988,92670247
1583056988,3883927573
1583056988,3243913086
3131115352,245499504
185612718,1396484258
22497706,389609128
26766482,258093389
26766482,127374165
921759169,179940298
921759169,2874446142
921759169,282189177
52175599,198532943
262252158,14308012
146576937,245499504
34977164,4143211455
34977164,258093389
34977164,703392684
34977164,84772025
315002750,720516768
315002750,50081895
315002750,1090128866
315002750,2887201159
315002750,2593147320
315002750,32694093
315002750,364619260
315002750,3066025187
315002750,14914477
315002750,323043092
755903,451436778
