date,count
2015-11-25,13731
2015-11-24,83095
2015-11-23,85910
2015-11-22,55105
2015-11-21,49595
2015-11-20,52498
2015-11-19,49263
2015-11-18,44536
2015-11-17,39678
2015-11-16,34430
2015-11-15,26071
2015-11-14,28015
2015-11-13,31769
2015-11-12,29682
2015-11-11,29528
2015-11-10,26931
2015-11-09,24757
2015-11-08,17556
2015-11-07,18559
2015-11-06,22320
2015-11-05,22510
2015-11-04,21693
2015-11-03,19949
2015-11-02,18798
2015-11-01,12791
2015-10-31,14257
2015-10-30,16979
2015-10-29,18863
2015-10-28,17881
2015-10-27,16576
2015-10-26,15842
2015-10-25,11105
2015-10-24,11532
2015-10-23,14599
2015-10-22,14909
2015-10-21,15215
2015-10-20,14352
2015-10-19,12978
2015-10-18,10238
2015-10-17,10478
2015-10-16,13305
2015-10-15,13121
2015-10-14,14737
2015-10-13,12787
2015-10-12,11503
2015-10-11,8920
2015-10-10,9378
2015-10-09,11877
2015-10-08,12582
2015-10-07,12006
2015-10-06,11331
2015-10-05,10630
2015-10-04,7713
2015-10-03,8236
2015-10-02,11004
2015-10-01,10767
2015-09-30,10389
2015-09-29,10176
2015-09-28,9778
2015-09-27,6930
2015-09-26,7447
2015-09-25,9583
2015-09-24,10314
2015-09-23,9525
2015-09-22,9144
2015-09-21,8190
2015-09-20,6512
2015-09-19,6756
2015-09-18,8675
2015-09-17,9490
2015-09-16,8791
2015-09-15,8359
2015-09-14,7790
2015-09-13,5910
2015-09-12,6075
2015-09-11,7693
2015-09-10,8106
2015-09-09,8171
2015-09-08,7372
2015-09-07,5756
2015-09-06,4704
2015-09-05,5334
2015-09-04,7053
2015-09-03,7087
2015-09-02,6944
2015-09-01,7369
2015-08-31,6868
2015-08-30,4964
2015-08-29,4932
2015-08-28,6747
2015-08-27,7042
2015-08-26,7221
2015-08-25,7329
2015-08-24,6734
2015-08-23,5039
2015-08-22,5198
2015-08-21,6440
2015-08-20,6655
2015-08-19,6683
2015-08-18,6473
2015-08-17,6429
2015-08-16,4078
2015-08-15,4569
2015-08-14,5935
2015-08-13,6266
2015-08-12,6729
2015-08-11,5816
2015-08-10,5382
2015-08-09,4042
2015-08-08,3945
2015-08-07,6122
2015-08-06,6044
2015-08-05,6001
2015-08-04,5334
2015-08-03,4747
2015-08-02,3706
2015-08-01,3557
2015-07-31,4965
2015-07-30,5420
2015-07-29,5198
2015-07-28,5078
2015-07-27,4820
2015-07-26,3455
2015-07-25,3693
2015-07-24,4714
2015-07-23,5435
2015-07-22,5185
2015-07-21,4793
2015-07-20,4828
2015-07-19,3189
2015-07-18,3555
2015-07-17,4313
2015-07-16,4686
2015-07-15,5034
2015-07-14,4636
2015-07-13,4511
2015-07-12,3111
2015-07-11,3186
2015-07-10,4444
2015-07-09,4165
2015-07-08,4674
2015-07-07,4295
2015-07-06,4241
2015-07-05,3165
2015-07-04,2998
