,id,screen_name,lang,created_at,time_zone,followers_count,friends_count,statuses_count
0,52553504,golfprotalk,en,Tue Jun 30 23:05:55 +0000 2009,Pacific Time (US & Canada),1688,2000,18460
2,2562498586,AGrahamCRACKUH,en,Sat May 24 20:35:38 +0000 2014,Mountain Time (US & Canada),3,38,31
4,82244966,ghallk,en,Wed Oct 14 01:30:49 +0000 2009,Mountain Time (US & Canada),5061,6894,331
5,301366282,bree_denniss,en,Thu May 19 10:37:38 +0000 2011,,126,362,1670
6,1491004670,doveparis,en,Fri Jun 07 18:20:46 +0000 2013,,2112,2140,15212
7,267229220,ShitChinkieSays,en,Wed Mar 16 15:05:35 +0000 2011,Quito,3,1251,6
8,4117197347,joan_francois,en,Thu Nov 05 05:31:54 +0000 2015,Pacific Time (US & Canada),2796,4953,118
9,1434885493,DeB0rahWilliams,en,Fri May 17 06:28:32 +0000 2013,Arizona,219,1898,158
11,2208919672,AcousticsPro1,en,Thu Dec 05 15:14:50 +0000 2013,America/New_York,16570,16698,252116
14,21998343,Suehasan,en,Thu Feb 26 11:04:10 +0000 2009,,938,623,207
16,1143040543,AdrenalineCafe,en,Sat Feb 02 17:56:17 +0000 2013,Pacific Time (US & Canada),189,1993,160
17,2795648338,CentralFL_CAN,en,Tue Sep 30 17:11:19 +0000 2014,,182,531,272
18,2406809846,gsyweatherfox,en,Sun Mar 23 11:33:23 +0000 2014,,612,130,926
19,525019149,TheCityofTmrrow,en,Thu Mar 15 04:15:59 +0000 2012,Central Time (US & Canada),1108,992,1428
21,3190877844,MeetVagehlot,en,Sun May 10 15:34:51 +0000 2015,,793,1995,1181
22,602901139,caribbeanftbl,en,Fri Jun 08 16:46:13 +0000 2012,London,3610,2571,27798
25,1228139144,Dahaakillibidik,en,Thu Feb 28 18:40:00 +0000 2013,,70,190,293
26,2994396687,JCChen87,en,Fri Jan 23 17:06:43 +0000 2015,,985,2924,1935
27,980459617,TKlaz,en,Fri Nov 30 13:21:41 +0000 2012,,58,216,673
28,221165261,ExplicitlySha,en,Mon Nov 29 22:41:56 +0000 2010,Mountain Time (US & Canada),748,630,72466
29,394647614,_Paul_Clark,en,Thu Oct 20 12:14:05 +0000 2011,London,2817,3129,3328
32,95139797,LauraBakken,en,Mon Dec 07 05:05:08 +0000 2009,Pacific Time (US & Canada),47001,39442,1268
33,27817193,Nikhiln25,en,Tue Mar 31 04:54:14 +0000 2009,,46,259,6
35,479811129,TheMiddlePeg,en,Tue Jan 31 20:01:04 +0000 2012,Amsterdam,1233,654,830
36,1601415452,wrightbarrister,en,Wed Jul 17 17:06:59 +0000 2013,,957,1975,118
37,624109010,Maximpactdotcom,en,Sun Jul 01 21:39:43 +0000 2012,Arizona,4339,3920,4179
38,204967983,YPAby_HD,en,Tue Oct 19 21:39:36 +0000 2010,,402,150,284
40,399704229,6794superman,en,Thu Oct 27 22:25:36 +0000 2011,Eastern Time (US & Canada),192,280,4615
41,2260435939,SALedlie,en-gb,Tue Dec 24 15:56:51 +0000 2013,,1747,1629,2980
42,269830995,PenEthiopian,en,Mon Mar 21 14:41:05 +0000 2011,Africa/Kampala,252,1797,189
43,446655665,dooleyproperty,en,Mon Dec 26 00:47:40 +0000 2011,,1199,2328,4004
44,825475092,Olly__Riley_,en,Sat Sep 15 15:39:47 +0000 2012,,278,652,103
46,1628768978,asan15asan,en,Sun Jul 28 21:14:57 +0000 2013,Riyadh,124,951,1937
48,1072318778,DrKosten,en,Tue Jan 08 23:34:47 +0000 2013,,0,456,938
49,23008116,DominicScott,en,Fri Mar 06 01:04:09 +0000 2009,Pacific Time (US & Canada),400810,217855,72229
51,304564625,Pune_MICE,en,Tue May 24 18:41:30 +0000 2011,,677,1978,255
52,991487468,AdamsStateSenat,en,Wed Dec 05 18:13:40 +0000 2012,,84,81,182
55,354330741,PresSanders1,en,Sat Aug 13 14:51:45 +0000 2011,Central Time (US & Canada),8579,6713,152887
56,19306111,IStillLoveHER,en,Wed Jan 21 20:32:15 +0000 2009,Berlin,33676,24384,69931
58,3028166259,SONIstudy,en,Tue Feb 10 14:22:13 +0000 2015,,247,840,916
59,1964256980,AdileniWhitfie,en,Wed Oct 16 07:45:28 +0000 2013,Central Time (US & Canada),9009,7524,705
60,24427205,vangemh,en,Sat Mar 14 20:47:33 +0000 2009,America/Toronto,45,113,28
61,2929064730,guardforever18,en,Sun Dec 14 01:30:05 +0000 2014,,663,1912,418
62,180257727,memymemyself,en,Thu Aug 19 05:16:33 +0000 2010,Central Time (US & Canada),41,371,3467
63,2875338939,EskoltaSchools,en,Thu Nov 13 17:36:14 +0000 2014,Eastern Time (US & Canada),128,710,686
64,2827154857,svershov1980,en,Mon Sep 22 23:56:55 +0000 2014,,3,652,26
65,1584678218,_JustMelanie_,en,Thu Jul 11 03:26:51 +0000 2013,Pacific Time (US & Canada),1154,1597,24098
67,962238350,thousandfishnet,en,Wed Nov 21 11:31:33 +0000 2012,London,4094,4124,2359
69,3302393265,RachelEmmettGY,en-gb,Fri May 29 04:35:35 +0000 2015,,638,2144,24
70,324153153,QSmikle,en,Sun Jun 26 03:06:42 +0000 2011,,16,158,79
71,4126636329,fbnaq9zt9h,en,Fri Nov 06 12:12:38 +0000 2015,,99,1550,75
72,2280110785,PaulinaPerozzi,en,Tue Jan 07 05:49:46 +0000 2014,,109,522,1383
73,926016289,kemar_young,en,Sun Nov 04 19:42:56 +0000 2012,Eastern Time (US & Canada),99753,62064,254
74,2496728240,MartyJLapierre,en,Thu May 15 16:50:04 +0000 2014,,2548,6463,106
75,1587167052,meaganramirez_,en,Fri Jul 12 00:54:06 +0000 2013,Atlantic Time (Canada),265,242,1875
76,56207523,iamcarlaparedes,en,Sun Jul 12 22:17:40 +0000 2009,Eastern Time (US & Canada),73,193,47
78,2765807133,FaulknerRec,en,Tue Sep 09 21:18:06 +0000 2014,,189,227,152
79,20606286,pandutzu,en,Wed Feb 11 17:52:15 +0000 2009,Bucharest,8298,915,40012
80,20713092,Venyu,en,Thu Feb 12 20:18:24 +0000 2009,Central Time (US & Canada),2349,620,1423
81,1035507116,abbysaysrelax,en,Tue Dec 25 19:59:51 +0000 2012,Eastern Time (US & Canada),79,184,445
82,3226903160,StopTxtingNow,en,Tue May 26 07:42:40 +0000 2015,,177,1987,15
83,1150268893,kakinnkko965,en,Tue Feb 05 07:42:16 +0000 2013,Pacific Time (US & Canada),11,390,35
84,26097408,IndusLogic,en,Mon Mar 23 21:43:00 +0000 2009,Hawaii,11064,9852,26926
85,18020390,iheartrocknroll,en,Wed Dec 10 14:44:51 +0000 2008,Eastern Time (US & Canada),2879,3078,86066
86,2384359531,pk111789_evan,en,Tue Mar 11 23:48:10 +0000 2014,,6,899,17
88,1548227802,mairimc73,en,Wed Jun 26 13:51:26 +0000 2013,,155,596,211
89,2839450449,TorOdberg,en,Tue Oct 21 08:53:21 +0000 2014,,10,25,17
