,id,screen_name,lang,created_at,time_zone,followers_count,friends_count,statuses_count
36,2787054170,StudentsinHG,en,Wed Sep 03 01:08:11 +0000 2014,,50,81,102
111,2739664770,DvrQueen1,en,Sun Aug 17 13:19:03 +0000 2014,,43,137,22
423,4214489698,beau_black,en,Wed Nov 18 01:56:21 +0000 2015,,98,471,10
553,737668819,cannamedgardens,en,Sun Aug 05 00:16:05 +0000 2012,Pacific Time (US & Canada),23933,5772,2108
554,4211191512,2966684930Jack,en,Thu Nov 12 10:09:06 +0000 2015,Pacific Time (US & Canada),51,240,13
595,270297403,2yuuuchaaan2,en,Tue Mar 22 10:52:32 +0000 2011,,517,406,4295
669,1552126188,AliciaP17241977,en,Fri Jun 28 04:00:35 +0000 2013,,456,1850,5321
927,19441262,WhosSayingThis,en,Sat Jan 24 10:40:27 +0000 2009,Central Time (US & Canada),633,236,2372
1033,919881014,_kwolfe22,en,Thu Nov 01 21:30:31 +0000 2012,Eastern Time (US & Canada),266,429,308
1051,462251110,PatriotIndiana,en,Thu Jan 12 18:57:34 +0000 2012,Eastern Time (US & Canada),1466,3489,98531
1053,2438413686,_SAjIDMiR,en,Fri Apr 11 12:20:22 +0000 2014,Pacific Time (US & Canada),35,197,65
1074,451436778,GollopGuern,en,Sat Dec 31 12:59:04 +0000 2011,,3308,3892,18427
1090,2733001963,Sahil_Bhat_KR,en,Thu Aug 14 21:59:09 +0000 2014,New Delhi,270,1950,269
1424,1706456996,NancyxNancy13,en,Wed Aug 28 06:02:07 +0000 2013,Eastern Time (US & Canada),1344,4083,285
1492,396089493,corindel,en,Sat Oct 22 18:39:47 +0000 2011,,26,287,249
1554,598744244,HillCrestRevisi,en,Sun Jun 03 23:19:56 +0000 2012,London,225,1004,521
1656,2860784999,anxshkasingh,en,Tue Nov 04 14:40:24 +0000 2014,,28,131,334
1663,249746406,sandboxchicago,en,Wed Feb 09 17:57:47 +0000 2011,Central Time (US & Canada),182,660,257
1676,359454489,z_a_b_z,en,Sun Aug 21 16:29:38 +0000 2011,Kuala Lumpur,163,352,5542
1778,3222340533,clairemcgennis,en,Wed Apr 29 22:20:06 +0000 2015,Pacific Time (US & Canada),186,450,202
